movie,year,imdb,metascore,votes,us_grossMillions,timeMin
Donnie Darko,2001,8.0,88,768718,1.48,113
The Girl with the Dragon Tattoo,2011,7.8,71,443685,102.52,158
Moonrise Kingdom,2012,7.8,84,334278,45.51,94
Guardians of the Galaxy Vol. 2,2017,7.6,67,618731,389.81,136
The Exorcist,1973,8.0,81,381093,232.91,122
Eternal Sunshine of the Spotless Mind,2004,8.3,89,955102,34.4,108
Catch Me If You Can,2002,8.1,75,897925,164.62,141
What We Do in the Shadows,2014,7.7,76,171272,3.33,86
The Big Short,2015,7.8,81,395373,70.26,130
Another Round,2020,7.8,79,117540,,117
Ex Machina,2014,7.7,78,507278,25.44,108
The Green Mile,1999,8.6,61,1213996,136.8,189
Logan,2017,8.1,77,696671,226.28,137
Once Upon a Time in America,1984,8.3,75,332540,5.32,229
Atonement,2007,7.8,85,264966,50.93,123
There Will Be Blood,2007,8.2,93,549899,40.22,158
The Avengers,2012,8.0,69,1317110,623.28,143
The Hobbit: An Unexpected Journey,2012,7.8,58,785202,303.0,169
12 Angry Men,1957,9.0,96,736360,4.36,96
The Irishman,2019,7.8,94,355975,7.0,209
Blue Velvet,1986,7.7,76,190567,8.55,120
Requiem for a Dream,2000,8.3,68,800782,3.64,102
Hamilton,2020,8.4,90,76501,,160
Scarface,1983,8.3,65,785207,45.6,170
Rogue One: A Star Wars Story,2016,7.8,65,585444,532.18,133
Full Metal Jacket,1987,8.3,76,706389,46.36,116
The Lord of the Rings: The Two Towers,2002,8.7,87,1557903,342.55,179
Boogie Nights,1997,7.9,85,252121,26.4,155
The Hateful Eight,2015,7.8,68,557208,54.12,168
Incendies,2010,8.3,80,164974,6.86,131
The Perks of Being a Wallflower,2012,7.9,67,485129,17.74,103
Oldboy,2003,8.4,77,546103,0.71,120
Fantastic Mr. Fox,2009,7.9,83,215493,21.0,87
Nightcrawler,2014,7.8,76,501685,32.38,117
One Flew Over the Cuckoo's Nest,1975,8.7,84,960349,112.0,133
Black Swan,2010,8.0,79,728817,106.95,108
"Three Billboards Outside Ebbing, Missouri",2017,8.1,88,471362,54.51,115
Star Wars: Episode VII - The Force Awakens,2015,7.8,80,890066,936.66,138
The Pianist,2002,8.5,85,777900,32.57,150
The Sandlot,1993,7.8,55,85485,32.42,101
The Usual Suspects,1995,8.5,77,1035579,23.34,106
Stand by Me,1986,8.1,75,382529,52.29,89
Moana,2016,7.6,81,301022,248.76,107
