movie,year,imdb,metascore,votes,us_grossMillions,timeMin
The Bridges of Madison County,1995,7.6,69,77769,71.52,135
Dawn of the Dead,1978,7.9,71,116872,5.1,127
Frankenstein,1931,7.8,91,69584,,70
Match Point,2005,7.6,72,212837,23.09,124
Night of the Living Dead,1968,7.9,89,123538,0.09,96
Wolfwalkers,2020,8.0,87,26688,,103
Gandhi,1982,8.0,79,224288,52.77,191
Charade,1963,7.9,83,73531,13.47,113
Annie Hall,1977,8.0,92,259070,39.2,93
This Is England,2006,7.7,86,119336,0.33,101
"Blood In, Blood Out",1993,8.0,47,30186,4.5,180
Donnie Brasco,1997,7.7,76,293104,41.91,127
Hara-Kiri,1962,8.6,85,50218,,133
The Raid: Redemption,2011,7.6,73,197951,4.11,101
Wild Tales,2014,8.1,77,188387,3.11,122
Beasts of No Nation,2015,7.7,79,78276,0.08,137
The Maltese Falcon,1941,8.0,97,154245,2.11,100
The Man from Earth,2007,7.9,,181794,,87
Solaris,1972,8.1,90,87446,,167
Short Term 12,2013,8.0,82,85507,1.01,96
The Color Purple,1985,7.8,78,82874,98.47,154
21 Grams,2003,7.6,70,231555,16.29,124
Ed Wood,1994,7.8,70,171532,5.89,127
Patton,1970,7.9,91,99156,61.7,172
Doctor Zhivago,1965,8.0,69,73246,111.72,197
In the Name of the Father,1993,8.1,84,167136,25.01,133
Detachment,2011,7.7,52,81349,0.07,98
The Apartment,1960,8.3,94,173409,18.6,125
Hotel Rwanda,2004,8.1,79,345225,23.53,121
Only the Brave,2017,7.6,72,64279,18.34,134
The Great Beauty,2013,7.8,86,85185,2.85,141
Paddington 2,2017,7.8,88,68691,40.44,103
Adaptation.,2002,7.7,83,186931,22.25,115
Once,2007,7.8,88,113992,9.44,86
Ghost in the Shell,1995,8.0,76,136803,0.52,83
Finding Neverland,2004,7.7,67,202914,51.68,106
Ordinary People,1980,7.7,86,49877,54.8,124
"Spring, Summer, Fall, Winter... and Spring",2003,8.0,85,80808,2.38,103
Persona,1966,8.1,86,111849,,83
50/50,2011,7.6,72,323366,35.01,100
The Name of the Rose,1986,7.7,54,105687,7.15,130
The Searchers,1956,7.9,94,85791,,119
Star Trek II: The Wrath of Khan,1982,7.7,67,117194,78.91,113
Mommy,2014,8.1,74,54352,3.49,139
Ip Man,2008,8.0,59,218107,,106
A Separation,2011,8.3,95,233628,7.1,123
Badlands,1973,7.8,93,70293,,94
Togo,2019,8.0,69,43879,,113
Nosferatu,1922,7.9,,93192,,94
Kiki's Delivery Service,1989,7.9,83,134609,,103
A Streetcar Named Desire,1951,8.0,97,104622,8.0,122
Network,1976,8.1,83,153283,,121
Rebecca,1940,8.1,86,131970,4.36,130
Tumbbad,2018,8.3,,38120,,104
Glengarry Glen Ross,1992,7.7,82,101454,10.73,100
I Am Sam,2001,7.6,28,147275,40.31,132
Nausicaä of the Valley of the Wind,1984,8.1,86,161401,0.5,117
The Insider,1999,7.8,84,166734,28.97,157
How to Train Your Dragon 2,2014,7.8,77,319010,177.0,102
Kramer vs. Kramer,1979,7.8,77,139826,106.26,105
All That Jazz,1979,7.9,72,30075,37.82,123
Malcolm X,1992,7.7,73,90974,48.17,202
Andhadhun,2018,8.2,,84406,1.37,139
Mississippi Burning,1988,7.8,65,95517,34.6,128
All the President's Men,1976,8.0,84,110277,70.6,138
The Third Man,1949,8.1,97,166126,0.45,93
Baahubali: The Beginning,2015,8.0,,109286,6.74,159
The Bridge on the River Kwai,1957,8.1,87,212431,44.91,161
Ponyo,2008,7.7,86,134527,15.09,101
Ran,1985,8.2,96,120323,4.14,162
Blood Simple,1984,7.6,83,92771,2.15,99
Cinderella Man,2005,8.0,69,182307,61.65,144
Witness for the Prosecution,1957,8.4,,117635,8.18,116
Hamlet,1996,7.7,,37264,4.41,242
The Bride of Frankenstein,1935,7.8,95,46519,4.36,75
Nebraska,2013,7.7,87,115703,17.65,115
Amores perros,2000,8.1,83,233176,5.38,154
The Remains of the Day,1993,7.8,86,70542,22.95,134
All Quiet on the Western Front,1930,8.1,91,59738,3.27,152
Castle in the Sky,1986,8.0,78,158677,,125
Guess Who's Coming to Dinner,1967,7.8,63,42438,56.7,108
The Artist,2011,7.9,89,236755,44.67,100
On the Waterfront,1954,8.1,91,149420,9.6,108
Happiness,1998,7.7,81,68648,2.81,134
A Little Princess,1995,7.7,83,33587,10.02,97
Cool Hand Luke,1967,8.1,92,171074,16.22,127
All About Eve,1950,8.2,98,126772,0.01,138
Sing Street,2016,7.9,79,89953,3.24,106
Miller's Crossing,1990,7.7,66,131566,5.08,115
Like Stars on Earth,2007,8.4,,182349,1.22,165
Me and Earl and the Dying Girl,2015,7.7,74,127894,6.74,105
The Last King of Scotland,2006,7.7,74,181777,17.61,123
Mother,2009,7.8,79,59384,0.55,129
8½,1963,8.0,91,114220,0.05,138
Infernal Affairs,2002,8.0,75,121847,0.17,101
Black Book,2006,7.7,71,75030,4.4,145
Kelly's Heroes,1970,7.6,50,47638,1.38,144
The Straight Story,1999,8.0,86,87566,6.2,112
Ray,2004,7.7,73,143599,75.33,152
The Longest Day,1962,7.8,75,54180,39.1,178
October Sky,1999,7.8,71,87525,32.48,108
Loving Vincent,2017,7.8,62,54831,6.74,94
Shoplifters,2018,7.9,93,70725,3.31,121
God's Own Country,2017,7.7,85,28451,0.34,104
Wings of Desire,1987,8.0,79,68464,3.33,128
Land of Mine,2015,7.8,75,38997,0.44,100
High Noon,1952,8.0,89,101323,9.45,85
Letters from Iwo Jima,2006,7.9,89,158887,13.76,141
Kubo and the Two Strings,2016,7.8,84,124155,48.02,101
The Wild Bunch,1969,7.9,97,82025,12.06,135
The Night of the Hunter,1955,8.0,99,86131,0.65,92
The King of Comedy,1982,7.8,73,97198,2.5,109
Clerks,1994,7.7,70,217206,3.15,92
Neon Genesis Evangelion: The End of Evangelion,1997,8.1,,47836,,87
Three Colors: Red,1994,8.1,100,99003,4.04,99
Enter the Dragon,1973,7.7,83,101403,25.0,102
Serpico,1973,7.7,87,117650,29.8,130
Paper Moon,1973,8.1,77,44945,30.93,102
Cabaret,1972,7.8,80,52350,42.77,124
Dancer in the Dark,2000,8.0,61,106532,4.18,140
The Wind Rises,2013,7.8,83,79898,5.21,126
Miracle on 34th Street,1947,7.9,88,44318,2.65,96
Roman Holiday,1953,8.0,78,134061,,118
Pink Floyd: The Wall,1982,8.0,47,78894,22.24,95
Gangs of Wasseypur,2012,8.2,89,90670,,321
Paprika,2006,7.7,81,77661,0.88,90
Happy Together,1997,7.7,70,26248,0.19,96
Arsenic and Old Lace,1943,8.0,,69002,,118
Z,1969,8.2,86,26308,0.08,127
Run Lola Run,1998,7.7,77,194551,7.27,80
Days of Heaven,1978,7.8,93,55949,,94
Belle de Jour,1967,7.7,,42694,0.03,100
In the Heat of the Night,1967,7.9,75,71321,24.38,110
Cape Fear,1962,7.7,76,28044,,106
Double Indemnity,1944,8.3,95,150962,5.72,107
Breathless,1960,7.8,,77878,0.34,90
The Last Emperor,1987,7.7,76,99237,43.98,163
Rashomon,1950,8.2,98,161330,0.1,88
Barton Fink,1991,7.7,69,117612,6.15,116
Three Colors: Blue,1993,7.9,85,97184,1.32,94
Victoria,2015,7.6,77,56336,,138
Laura,1944,8.0,,45272,4.36,88
The Right Stuff,1983,7.8,91,59798,21.5,193
Notorious,1946,8.0,100,97919,10.46,102
Uri: The Surgical Strike,2019,8.3,,53304,4.19,138
Dial M for Murder,1954,8.2,75,168056,0.01,105
Gaslight,1944,7.8,,26798,,114
Good Bye Lenin!,2003,7.7,68,142470,4.06,121
From Here to Eternity,1953,7.6,85,45515,30.5,118
The Raid 2,2014,8.0,71,119231,2.63,150
The Chaser,2008,7.8,64,62880,,125
The Body,2012,7.6,,62441,,112
Strangers on a Train,1951,8.0,88,130098,7.63,101
Being There,1979,8.0,83,70256,30.18,130
Pride,2014,7.8,79,54633,,119
Modern Times,1936,8.5,96,230444,0.16,87
The Big Sleep,1946,7.9,,83146,6.54,114
Le Samouraï,1967,8.1,,48882,0.04,101
Yojimbo,1961,8.2,93,118095,,110
Rope,1948,8.0,73,137213,,80
The Great Dictator,1940,8.4,,214613,0.29,125
Repulsion,1965,7.7,91,51619,,105
What Ever Happened to Baby Jane?,1962,8.1,75,53364,4.05,134
PK,2014,8.1,,173683,10.62,153
The Station Agent,2003,7.6,81,69211,5.74,89
The Sweet Life,1960,8.0,95,70384,19.52,174
The Double Life of Véronique,1991,7.8,86,45921,2.0,98
Who's Afraid of Virginia Woolf?,1966,8.0,75,73092,,131
My Left Foot,1989,7.9,97,71735,14.74,103
Perfect Strangers,2016,7.8,,61406,,96
Sabrina,1954,7.6,72,62504,,113
The Muppet Christmas Carol,1992,7.7,64,52315,27.28,85
The Day the Earth Stood Still,1951,7.7,,79963,,92
Mirror,1975,8.1,80,43909,0.18,107
Hedwig and the Angry Inch,2001,7.7,85,34708,3.03,95
The Man from Nowhere,2010,7.8,,66837,0.01,119
Fantasia,1940,7.7,96,92503,76.41,125
The Lion in Winter,1968,7.9,,30499,22.28,134
Wild Strawberries,1957,8.2,88,103015,,91
Zulu,1964,7.7,77,37963,,138
Control,2007,7.7,78,63739,0.87,122
Mary and Max,2009,8.1,,171575,,92
King Kong,1933,7.9,90,83013,10.0,100
The Celebration,1998,8.1,82,83939,1.65,105
It Happened One Night,1934,8.1,87,99541,4.36,105
The Philadelphia Story,1940,7.9,96,66680,,112
"South Park: Bigger, Longer & Uncut",1999,7.7,73,199129,52.04,81
The Killing,1956,8.0,91,86361,,84
East of Eden,1955,7.9,72,43882,,118
The Manchurian Candidate,1962,7.9,94,73831,,126
The African Queen,1951,7.8,91,76386,0.54,105
The Verdict,1982,7.7,77,38403,54.0,129
Philomena,2013,7.6,77,97611,37.71,98
Mysterious Skin,2004,7.6,73,67773,0.7,105
The Invisible Man,1933,7.7,87,33421,,71
Secrets & Lies,1996,8.0,91,41567,13.42,136
Freaks,1932,7.9,80,44667,,64
The Killing Fields,1984,7.8,76,54073,34.7,141
Hannah and Her Sisters,1986,7.9,90,69798,40.08,107
Harold and Maude,1971,7.9,62,75293,,91
The Cabinet of Dr. Caligari,1920,8.1,,61013,,67
Open Your Eyes,1997,7.7,,67692,0.37,119
Giant,1956,7.6,84,37273,,201
Rockstar,2011,7.7,,42360,0.99,159
The 400 Blows,1959,8.1,,112326,,99
Short Cuts,1993,7.7,79,43870,6.11,188
Bicycle Thieves,1948,8.3,,156871,0.33,89
The Treasure of the Sierra Madre,1948,8.2,98,120487,5.01,126
Withnail & I,1987,7.6,84,42484,1.54,107
The Quiet Man,1952,7.8,85,36956,10.55,129
Manhattan,1979,7.9,83,137017,45.7,96
City Lights,1931,8.5,99,177270,0.02,87
25th Hour,2002,7.6,68,175286,13.06,135
Tangerines,2013,8.2,73,44596,0.14,87
Whisper of the Heart,1995,7.9,75,57715,,111
All About My Mother,1999,7.9,87,93473,8.26,101
A Man Called Ove,2015,7.7,70,51369,3.36,116
Ikiru,1952,8.3,,74392,0.06,143
Sympathy for Mr. Vengeance,2002,7.6,56,66226,0.05,129
Amour,2012,7.9,94,97125,6.74,127
Raatchasan,2018,8.4,,36157,,170
Breaking the Waves,1996,7.8,76,65006,4.04,159
Interstate 60: Episodes of the Road,2002,7.7,,31455,,116
Fantastic Planet,1973,7.8,73,28605,0.19,72
The Day of the Jackal,1973,7.8,80,39462,16.06,143
The Hustler,1961,8.0,90,79713,8.28,134
Once Were Warriors,1994,7.9,77,32986,2.2,102
Dead Man's Shoes,2004,7.6,52,51956,0.01,90
Elite Squad,2007,8.0,33,101220,0.01,115
Miracle in Cell No. 7,2019,8.2,,43499,,132
The Man Who Shot Liberty Valance,1962,8.1,94,73122,,123
Touch of Evil,1958,8.0,99,101987,2.24,95
His Girl Friday,1940,7.9,,56499,0.3,92
Song of the Sea,2014,8.1,85,55771,0.86,93
Judgment at Nuremberg,1961,8.2,60,74239,,179
High and Low,1963,8.4,,40365,,143
Anatomy of a Murder,1959,8.0,95,63850,11.9,161
Talk to Her,2002,7.9,86,109271,9.28,112
Stagecoach,1939,7.9,93,46622,,96
"Duck, You Sucker!",1971,7.6,77,33336,0.7,138
The Diving Bell and the Butterfly,2007,8.0,92,105977,5.99,112
The White Ribbon,2009,7.8,82,71490,2.22,144
The Tenant,1976,7.6,71,42390,1.92,126
The Taking of Pelham One Two Three,1974,7.7,68,29273,2.49,104
"Aguirre, the Wrath of God",1972,7.9,,55170,,95
Watership Down,1978,7.6,64,35377,,91
The Adventures of Robin Hood,1938,7.9,97,49438,3.98,102
Mr. Smith Goes to Washington,1939,8.1,73,112044,9.6,129
The Grapes of Wrath,1940,8.1,96,89816,0.06,129
Leviathan,2014,7.6,92,51823,1.09,140
Peeping Tom,1960,7.7,,33777,0.08,101
Invasion of the Body Snatchers,1956,7.7,92,47728,,80
Eyes Without a Face,1960,7.7,90,30101,0.05,90
Waking Life,2001,7.8,83,62699,2.89,99
Underground,1995,8.1,79,57181,0.17,167
The Sacrifice,1986,8.0,,26855,0.3,149
The Wave,2008,7.6,,106295,,107
In a Lonely Place,1950,8.0,,29581,,94
Dersu Uzala,1975,8.3,,25869,,142
Zindagi Na Milegi Dobara,2011,8.2,,73519,3.11,155
Adam's Apples,2005,7.8,51,48686,0.0,94
Andrei Rublev,1966,8.1,,51336,0.1,205
The Legend of 1900,1998,8.1,58,61902,0.26,169
Children of Heaven,1997,8.3,77,71049,0.93,89
Pather Panchali,1955,8.4,,29279,0.54,125
3-Iron,2004,8.0,72,53366,0.24,88
Porco Rosso,1992,7.7,83,84071,,94
A Prophet,2009,7.9,90,96683,2.08,155
The Red Shoes,1948,8.1,,33283,10.9,135
Stalag 17,1953,8.0,84,54323,,120
Nashville,1975,7.7,96,25391,14.82,160
The Battle of Algiers,1966,8.1,96,57340,0.06,121
Autumn Sonata,1978,8.2,,31976,,99
The Umbrellas of Cherbourg,1964,7.8,86,25972,0.03,91
The Innocents,1961,7.8,88,29121,2.62,100
The Little Prince,2015,7.7,70,59718,1.34,108
The Shop Around the Corner,1940,8.1,96,30474,0.2,99
Night on Earth,1991,7.7,68,58375,2.02,129
Amarcord,1973,7.9,,42055,0.58,123
Drishyam,2015,8.2,,77351,0.74,163
The Motorcycle Diaries,2004,7.8,75,99489,16.76,126
Throne of Blood,1957,8.1,,50121,,110
Departures,2008,8.1,68,50671,1.5,130
A Man for All Seasons,1966,7.7,72,33470,28.35,120
Ivan's Childhood,1962,8.1,,34678,,95
When Marnie Was There,2014,7.7,72,36992,0.77,103
A Very Long Engagement,2004,7.6,76,72481,6.17,133
To Have and Have Not,1944,7.8,90,33180,,100
The Vanishing,1988,7.7,,37253,,107
The Salesman,2016,7.7,85,56838,2.4,124
The Tale of The Princess Kaguya,2013,8.0,89,43035,1.51,137
Gilda,1946,7.6,,31120,,110
The World's Fastest Indian,2005,7.8,68,53624,5.13,127
Scarface,1932,7.8,87,27010,,93
The Sea Inside,2004,8.0,74,80072,2.09,126
Fitzcarraldo,1982,8.1,,33629,,158
Super 30,2019,8.0,,27379,2.27,154
The Man Who Would Be King,1975,7.8,91,47415,,129
Joyeux Noel,2005,7.7,70,28833,1.05,116
The Thin Man,1934,8.0,86,28292,,91
Darbareye Elly,2009,8.0,87,50573,0.11,119
Dara of Jasenovac,2020,8.8,,79825,,130
Cat on a Hot Tin Roof,1958,8.0,84,47682,17.57,108
La Strada,1954,8.0,,61256,,108
Key Largo,1948,7.8,,39310,,100
Ayla: The Daughter of War,2017,8.4,,37392,,125
The Kid,1921,8.3,,121064,5.45,68
Shine,1996,7.7,87,53128,35.81,105
Tokyo Story,1953,8.2,,58262,,136
Vikram Vedha,2017,8.3,,34466,,147
Nostalghia,1983,8.1,,25668,0.01,125
Wait Until Dark,1967,7.8,81,29549,17.55,108
K.G.F: Chapter 1,2018,8.3,,48944,,156
"I, Daniel Blake",2016,7.9,78,57415,0.26,100
Persepolis,2007,8.0,90,92222,4.45,96
Frost/Nixon,2008,7.7,80,106164,18.59,122
Hard Boiled,1992,7.8,,48951,,128
Lilya 4-Ever,2002,7.8,82,44486,0.18,109
Evil,2003,7.8,61,36955,0.02,113
The Wages of Fear,1953,8.1,85,58632,,131
Diabolique,1955,8.1,,64345,1.09,117
The Odd Couple,1968,7.7,86,33730,44.53,105
Taste of Cherry,1997,7.8,80,27805,0.31,95
Sholay,1975,8.2,,53972,,162
Harvey,1950,7.9,,54337,,104
In Cold Blood,1967,7.9,89,25660,,134
The Conformist,1970,8.0,100,29141,0.54,113
Kal Ho Naa Ho,2003,7.9,54,66624,1.79,186
The Message,1976,8.2,,45969,,177
Red River,1948,7.8,,29946,,133
The Big Heat,1953,7.9,,25511,,89
The General,1926,8.1,,87503,1.03,67
Gully Boy,2019,7.9,65,36193,5.57,154
Article 15,2019,8.2,,28298,,130
Head-On,2004,7.9,78,53037,,121
Bajrangi Bhaijaan,2015,8.0,,81459,8.18,163
Bringing Up Baby,1938,7.9,91,59314,,102
Raise the Red Lantern,1991,8.1,,31413,2.6,125
Three Colors: White,1994,7.6,88,70174,1.46,92
Wolf Children,2012,8.1,71,42145,,117
Battleship Potemkin,1925,8.0,97,55938,0.05,66
Nobody Knows,2004,8.1,88,26579,0.68,141
Nights of Cabiria,1957,8.1,,46600,0.75,110
Drishyam 2,2021,8.6,,31712,,152
Winter Sleep,2014,8.1,88,49826,0.17,196
My Name Is Khan,2010,8.0,50,103197,4.02,165
Cries & Whispers,1972,8.1,,32660,1.74,91
Badla,2019,7.8,,25874,1.86,118
The Chorus,2004,7.9,56,59879,3.64,97
Tokyo Godfathers,2003,7.8,73,34859,0.13,92
The Asphalt Jungle,1950,7.9,,25661,,112
To Be or Not to Be,1942,8.2,86,34268,,99
Sleuth,1972,8.0,,46677,4.08,138
The Hidden Fortress,1958,8.1,89,37537,,126
The Experiment,2001,7.7,60,92635,0.14,120
My Sassy Girl,2001,8.0,,47032,,137
Ace in the Hole,1951,8.1,72,34226,3.97,111
The Virgin Spring,1960,8.1,,28233,1.53,89
The Discreet Charm of the Bourgeoisie,1972,7.9,93,41330,0.2,102
Kagemusha,1980,8.0,84,34433,,162
Loveless,2017,7.6,86,31916,0.57,127
Ninja Scroll,1993,7.9,,36200,,94
Down by Law,1986,7.7,75,50191,1.44,107
The 39 Steps,1935,7.6,93,54908,,86
Sweet Smell of Success,1957,8.0,100,30352,,96
Crimes and Misdemeanors,1989,7.9,77,56737,18.25,104
Shadow of a Doubt,1943,7.8,94,63050,,108
Au Revoir les Enfants,1987,8.0,88,32796,4.54,104
Baahubali 2: The Conclusion,2017,8.2,,81942,20.19,167
Farewell My Concubine,1993,8.1,83,26985,5.22,171
Lagaan: Once Upon a Time in India,2001,8.1,84,109874,0.07,224
Raazi,2018,7.8,,28374,,138
The Caine Mutiny,1954,7.7,63,26874,21.75,124
The Passion of Joan of Arc,1928,8.1,,51916,0.02,114
Batman: Mask of the Phantasm,1993,7.8,,47043,5.62,76
The Ladykillers,1955,7.7,91,28342,,91
The Broken Circle Breakdown,2012,7.7,70,40505,0.18,111
The Secret of Kells,2009,7.6,81,34088,0.69,75
Badhaai Ho,2018,8.0,,31623,,124
Jules and Jim,1962,7.8,97,39891,,105
The Lunchbox,2013,7.8,76,53730,4.23,104
Brief Encounter,1945,8.0,92,38408,,86
Masaan,2015,8.2,,26345,,109
The Return,2003,8.0,82,44454,0.5,110
Dilwale Dulhania Le Jayenge,1995,8.1,,66828,,181
Hiroshima Mon Amour,1959,7.9,,30418,0.09,90
Vivre Sa Vie,1962,8.0,,30279,,85
"Black Cat, White Cat",1998,8.1,73,52602,0.35,127
The Bandit,1996,8.2,,68167,,128
Inherit the Wind,1960,8.1,75,29194,,128
The Lady Vanishes,1938,7.8,98,50543,,96
M.S. Dhoni: The Untold Story,2016,7.9,,48815,1.78,184
Celda 211,2009,7.6,,66085,,113
Millennium Actress,2001,7.9,70,25966,0.19,87
Sunrise,1927,8.1,,49847,0.54,94
Pink,2016,8.1,,42879,1.24,136
Rififi,1955,8.1,97,32905,0.06,118
After the Wedding,2006,7.7,78,33742,0.41,120
The Gold Rush,1925,8.2,,107191,5.45,95
Confessions,2010,7.7,,37686,,106
My Father and My Son,2005,8.2,,83656,,112
"4 Months, 3 Weeks and 2 Days",2007,7.9,97,58754,1.19,113
Lifeboat,1944,7.6,78,27944,,97
Vampire Hunter D: Bloodlust,2000,7.7,62,30792,0.15,103
Chhichhore,2019,8.3,,45470,0.9,143
Swades,2004,8.2,,87477,1.22,189
Hera Pheri,2000,8.2,,62781,,156
In a Better World,2010,7.6,65,39502,1.01,118
The Triplets of Belleville,2003,7.8,91,53384,7.0,80
Once Upon a Time in Anatolia,2011,7.9,82,44808,0.14,157
Talvar,2015,8.2,,33635,0.34,132
Joint Security Area,2000,7.8,58,28621,,110
Sullivan's Travels,1941,7.9,,25530,,90
Time of the Gypsies,1988,8.2,,29682,0.28,142
Rang De Basanti,2006,8.1,,116890,2.2,167
No Man's Land,2001,7.9,84,46200,1.06,98
The Postman,1994,7.7,81,35317,21.85,108
Queen,2013,8.2,,63983,1.43,146
The Girl Who Leapt Through Time,2006,7.7,,63614,,98
The Exterminating Angel,1962,8.1,,32069,,95
L'Avventura,1960,7.9,,28399,,144
Only Yesterday,1991,7.6,90,29953,0.45,118
Elite Squad 2: The Enemy Within,2010,8.0,71,81415,0.1,115
The Past,2013,7.7,85,47611,1.33,130
Kahaani,2012,8.1,,60741,1.04,122
The Purple Rose of Cairo,1985,7.7,75,50256,10.63,82
The Killer,1989,7.8,82,47309,,111
Dreams,1990,7.8,,25450,1.96,119
Baby,2015,8.0,,55810,,159
Lupin III: The Castle of Cagliostro,1979,7.6,72,29267,,102
The Lost Weekend,1945,7.9,,35623,9.46,101
The Rules of the Game,1939,8.0,,28115,,110
Duck Soup,1933,7.8,93,58964,,69
Veer Zaara,2004,7.8,67,51308,2.92,192
In America,2002,7.7,76,42557,15.54,105
Beauty and the Beast,1946,7.9,92,25664,0.3,93
Nine Queens,2000,7.9,80,51600,1.22,114
The Magdalene Sisters,2002,7.7,83,26788,4.89,114
Love and Death,1975,7.7,89,37637,,85
Fireworks,1997,7.8,,29472,0.23,103
Special 26,2013,8.0,,54148,1.08,144
Kind Hearts and Coronets,1949,8.0,,36291,,106
Central Station,1998,8.0,80,38407,5.6,110
Sherlock Jr.,1924,8.2,,46544,0.98,45
Le Dîner de Cons,1998,7.7,73,40280,4.07,80
Dil Chahta Hai,2001,8.1,,70020,0.3,183
Black,2005,8.2,,34316,0.73,122
Haider,2014,8.1,,52522,0.9,160
Jab We Met,2007,7.9,,50577,0.41,138
Bhaag Milkha Bhaag,2013,8.2,,65172,1.63,186
Drishyam,2013,8.3,,38520,,160
Barfi!,2012,8.1,,79222,2.8,151
La Grande Illusion,1937,8.1,,35512,0.17,113
Tae Guk Gi: The Brotherhood of War,2004,8.0,64,38987,1.11,140
Hindi Medium,2017,7.9,,26400,,132
Udta Punjab,2016,7.8,,29049,,148
Andaz Apna Apna,1994,8.1,,51900,,160
A Wednesday,2008,8.1,,76704,,104
English Vinglish,2012,7.8,,35206,1.67,134
Sanjuro,1962,8.1,,36891,,96
OMG: Oh My God!,2012,8.1,,55658,0.92,125
C.R.A.Z.Y.,2005,7.9,81,32118,,129
The Circus,1928,8.1,90,32484,,72
Zelig,1983,7.7,,41292,11.8,79
Knockin' on Heaven's Door,1997,7.9,,29153,0.0,87
A Night at the Opera,1935,7.9,,31990,2.54,96
Dev.D,2009,8.0,,29954,0.01,144
Chak De! India,2007,8.2,68,77775,1.11,153
Airlift,2016,8.0,,55419,,130
Vicky Donor,2012,7.8,,41782,0.17,126
Munna Bhai M.B.B.S.,2003,8.1,,78414,,156
The Edge of Heaven,2007,7.8,85,31629,0.74,122
G.O.R.A.,2004,8.0,,60133,,127
"Carry On, Munna Bhai",2006,8.1,,45507,2.22,144
Paan Singh Tomar,2012,8.2,,35131,0.04,135
Kai Po Che,2013,7.8,40,35575,1.12,120
Udaan,2010,8.2,,44108,0.01,134
The Breath,2009,8.0,,32963,,128
Anand,1971,8.2,,32990,,122
Vizontele,2001,8.0,,35435,,110
